ID,title,coords,IDImagenVitrina
10009800,98,"630, 1057, 25",6004001
10098100,98,"191, 1060, 25",6004002
10009900,99,"116, 869, 25",6004001
10010000,100,"615, 884, 25",6004001
10100100,100,"210, 888, 25",6004002
10075300,753,"580, 948, 25",6004001
10753100,753,"173, 954, 25",6004002
10130000,1300,,
10429900,4299,,
10507300,5073,,
10507500,5075,,
10507600,5076,,
10508500,5085,,
10509100,5091,,
10509200,5092,,
10509300,5093,,
10509500,5095,,
10509800,5098,,
10509900,5099,,
10510000,5100,,
10512600,5126,"438, 704, 10- 438, 721, 10- 438, 739, 10",6004002
10512700,5127,"506, 812, 20- 506, 847, 20",6004002
10512800,5128,"442, 857, 20- 442, 892, 20",6004002
10513200,5132,,
10513400,5134,"347, 1059, 25",6004001
10513500,5135,"279, 919, 25",6004001
10513700,5137,"562, 792, 20- 562, 827, 20",6004002
10513800,5138,"536, 713, 20- 536, 748, 20",6004002
10513900,5139,"416, 767, 20- 416, 802, 20",6004002
10514000,5140,"472, 644, 25- 472, 687, 25",6004002
10514100,5141,"621, 719, 25- 621, 1033, 25",6004002
10514200,5142,"544, 581, 25",6004002
10514300,5143,"516, 958, 15- 516, 987, 20- 516, 1022, 20",6004002
10514400,5144,"648, 723, 20- 648, 757, 20",6004002
10514500,5145,"520, 628, 20- 520, 663, 20",6004002
10514600,5146,"693, 781, 25- 683, 825, 25",6004002
10514700,5147,"421, 611, 20- 421, 646, 20",6004002
10515100,5151,"630, 813, 15- 630, 639, 15",6004002
10515600,5156,,
10515700,5157,,
10515800,5158,,
10515900,5159,,
10516000,5160,,
10516200,5162,,
10516800,5168,"469, 969, 25",6004001
15168100,5168,"58, 974, 25",6004002
10516900,5169,,
10517200,5172,,
10517400,5174,,
10517500,5175,,
10517600,5176,"640, 1035, 30",6003001
10518100,5181,,
10518200,5182,,
10518400,5184,"381, 428, 15",6003002
15184100,5184,"148, 428, 15",6003003
10518500,5185,,
10518700,5187,,
10518900,5189,,
10519100,5191,,
10519200,5192,,
10519300,5193,,
10519500,5195,,
10519600,5196,,
10519700,5197,,
10519900,5199,,
10520100,5201,,
10520300,5203,,
10521100,5211,"574, 618, 20- 574, 654, 20- 574, 690, 20",6004002
10521200,5212,"685, 539, 20- 685, 574, 20",6004002
10521300,5213,,
10521400,5214,"180, 1059, 25",6004001
10521500,5215,"477, 1047, 25",6004001
15215100,5215,"35, 1052, 25",6004002
10521600,5216,"492, 730, 15- 492, 756, 15",6004002
10521700,5217,"648, 621, 15- 648, 647, 15",6004002
10522300,5223,,
10522400,5224,,
10523000,5230,,
10523200,5232,,
10523500,5235,,
