ID,IDGroup,title,masInfo,codigo,material,sitio,comuna,provincia,imagenes,video,video3d
132,13200,Puco,,132,Arcilla,El Olivar (Compañía Baja),"La Serena, Provincia de Elqui",,"IMG_6761.JPG, IMG_6763.JPG, IMG_6764.JPG, IMG_6765.JPG",,
136,13600,Puco,,136,Arcilla,El Olivar (Compañía Baja),"La Serena, Provincia de Elqui",,"IMG_6767.JPG, IMG_6768.JPG, IMG_6769.JPG",,
219,21900,Figurilla,,219,Piedra,Sitio desconocido,Desconocida,,COMODIN.jpg,,
223,22300,Vasija,,223,Arcilla ,El Molle,"Vicuña, Provincia de Elqui",,"IMG_6247.JPG, IMG_6248.JPG, IMG_6249.JPG, IMG_6253.JPG",,
579,57900,Escudilla,,579,Arcilla,Titon,"Monte Patria, Provincia de Limarí",,"IMG_6761.JPG, IMG_6763.JPG, IMG_6764.JPG, IMG_6765.JPG",,
595,59500,Jarro,,595,Arcilla,Falda Mala,"Río Hurtado, Provincia de Limarí",,"IMG_6732.JPG, IMG_6733.JPG, IMG_6734.JPG, IMG_6736.JPG",,
596,59600,Puco,,596,Arcilla,Hacienda El Bosque,"Río Hurtado, Provincia de Limarí",,"IMG_6557.JPG, IMG_6558.JPG, IMG_6559.JPG, IMG_6560.JPG",,
597,59700,Escudilla,,597,Arcilla,Falda Mala,"Río Hurtado, Provincia de Limarí",,"IMG_6718.JPG, IMG_6719.JPG, IMG_6720.JPG, IMG_6721.JPG",,
611,61100,Tembetá ,,611,Combarbalita ,Las Breas,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,
698,69800,Pipa,,698,Piedra,La Serena,"La Serena, Provincia de Elqui",,"IMG_6501.JPG, IMG_6502.JPG",,
811,81100,Puco,,81-1,Arcilla,Quebrada Las Ánimas,"La Serena, Provincia de Elqui",,"IMG_6624.JPG, IMG_6626.JPG, IMG_6627.JPG, IMG_6628.JPG",,
813,81300,Escudilla,,81-3,Arcilla,Quebrada Las Ánimas,"La Serena, Provincia de Elqui",,"IMG_6613.JPG, IMG_6614.JPG, IMG_6615.JPG, IMG_6616.JPG",,
814,81400,Puco,,81-4,Arcilla,Quebrada Las Animas,"Alto del Carmen, Provincia de Huasco",,"IMG_6714.JPG, IMG_6715.JPG, IMG_6716.JPG, IMG_6717.JPG",,
815,81500,Puco,,81-5,Arcilla,Quebrada Las Ánimas,"La Serena, Provincia de Elqui",,"IMG_6589.JPG, IMG_6590.JPG, IMG_6591.JPG, IMG_6594.JPG",,
831,83100,Pectoral,,83-1,Cobre,Quebrada de Ipipe,"Alto del Carmen, Provincia de Huasco",,COMODIN.jpg,,
832,83200,Tembetá,,83-2,Piedra,Quebrada de Ipipe,"Vallenar, Provincia de Huasco",,"IMG_6089.JPG, IMG_6090.JPG, IMG_6091.JPG",,033_L_MK1.mp4
836,83600,Colgante,,83-6,Cobre,Quebrada de Ipipe,"Freirina, Provincia de Huasco",,COMODIN.jpg,,
837,83700,Pipa,,83-7,Piedra,Quebrada de Ipipe,"Vallenar, Provincia de Huasco",,"IMG_5881.JPG, IMG_5882.JPG",,
839,83900,Perforador,,83-9,Sílice,Quebrada Ipipe,"Vallenar, Provincia de Huasco",,"IMG_6166.JPG, IMG_6167.JPG",,
854,85400,Pipa,,854,Piedra,"Los Infieles, Cruz Grande","La Higuera, Provincia de Elqui",,"IMG_5900.JPG, IMG_5901.JPG",,
856,85600,Collar,,856,Concha,"Los Infieles, Norte de Cruz Grande","La Higuera, Provincia de Elqui",,"IMG_7007.JPG, IMG_7008.JPG, IMG_7009.JPG, IMG_7010.JPG",,
857,85700,Pulsera,,857,Cobre,"Los Infieles, Cruz Grande","La Higuera, Provincia de Elqui",,COMODIN.jpg,,
857,85700,Pulsera,,857,Cobre,Los Infieles. Cruz Grande,"La Higuera, Provincia de Elqui",,COMODIN.jpg,,
858,85800,Pulsera,,858,Cobre,"Los Infieles, Cruz Grande","La Higuera, Provincia de Elqui",,COMODIN.jpg,,
