ID,title,IDVitrina
5100001,Tablet 3A,5003000
5100002,Tablet 3B,5003500
5100003,Tablet 3C,5003600
5100004,Tablet 4A,5004000
5100005,Tablet 4B,5004500
5100006,Tablet 6A,5006000
5100007,Tablet 6B,5006500
5100008,Tablet 7,5007000
5100009,Tablet 8,5008000
5100010,Tablet 9A,5009000
5100011,Tablet 9B,5009500
5100012,Tablet 10A,5010000
5100013,Tablet 10B,5010500
5100014,Tablet 11A,5011000
5100015,Tablet 11B,5011500
5100016,Tablet 12A,5012000
5100017,Tablet 12B,5012500
5100018,Tablet 13A,5013000
5100019,Tablet 13B,5013500
5100020,Tablet 13C,5013600
5100021,Tablet 13D,5013700
5100022,Tablet 14,5014000
5100023,Tablet 15,5015000
5100024,Tablet 16,5016000
5100025,Tablet 17A,5017000
5100026,Tablet 17B,5017500
5100027,Tablet 18,5018000
5100028,Tablet 19,5019000
